stock_code,stock_name,candle_end_time,open,high,low,close,pre_close,amount,volume,buy1,sell1,status
sh603316,诚邦股份,2023-03-29 15:00:00,6.24,6.25,6.07,6.07,6.24,6088190.0,37305699.0,6.07,6.08,00
sz000001,平安银行,2023-03-29 15:00:03,12.73,12.74,12.5,12.53,12.64,59606433.0,750687550.55,12.53,12.54,00
sh603317,天味食品,2023-03-29 15:00:01,24.34,24.4,24.06,24.32,24.27,2042996.0,49497830.0,24.31,24.32,00
sz000002,万 科Ａ,2023-03-29 15:00:00,15.41,15.62,15.35,15.39,15.35,65484826.0,1012734686.59,15.39,15.4,00
sh603318,水发燃气,2023-03-29 15:00:00,7.98,8.01,7.84,7.91,8.01,6596010.0,52202132.0,7.91,7.92,00
sz000003,PT金田A,2023-03-24 11:45:03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3
sh603319,湘油泵,2023-03-29 15:00:01,15.78,15.98,15.66,15.71,15.78,1661799.0,26296571.0,15.71,15.72,00
sz000004,ST国华,2023-03-29 15:00:00,9.99,9.99,9.86,9.89,9.99,1220700.0,12105878.0,9.88,9.89,00
sh603320,迪贝电气,2023-03-29 15:00:01,13.66,13.85,13.42,13.48,13.66,1406890.0,19159872.0,13.48,13.49,00
sz000005,ST星源,2023-03-29 15:00:03,1.79,1.8,1.76,1.77,1.79,4601800.0,8199067.0,1.77,1.78,00
