±¾Êý¾Ý²ßÂÔ·ÖÏí»á×¨ÓÃ£¬ÓÉÐÏ²»ÐÐÕûÀí£¬Î¢ÐÅ£ºxbx297
¹ÉÆ±´úÂë,¹ÉÆ±Ãû³Æ,½»Ò×ÈÕÆÚ,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,Ç°ÊÕÅÌ¼Û,³É½»Á¿,³É½»¶î,Á÷Í¨ÊÐÖµ,×ÜÊÐÖµ,¾»ÀûÈóTTM,ÏÖ½ðÁ÷TTM,¾»×Ê²ú,×Ü×Ê²ú,×Ü¸ºÕ®,¾»ÀûÈó(µ±¼¾),ÖÐ»§×Ê½ðÂòÈë¶î,ÖÐ»§×Ê½ðÂô³ö¶î,´ó»§×Ê½ðÂòÈë¶î,´ó»§×Ê½ðÂô³ö¶î,É¢»§×Ê½ðÂòÈë¶î,É¢»§×Ê½ðÂô³ö¶î,»ú¹¹×Ê½ðÂòÈë¶î,»ú¹¹×Ê½ðÂô³ö¶î,»¦Éî300³É·Ö¹É,ÉÏÖ¤50³É·Ö¹É,ÖÐÖ¤500³É·Ö¹É,´´Òµ°åÖ¸³É·Ö¹É,ÉêÍòÒ»¼¶ÐÐÒµ´úÂë,ÉêÍòÒ»¼¶ÐÐÒµÃû³Æ,ÉêÍò¶þ¼¶ÐÐÒµ´úÂë,ÉêÍò¶þ¼¶ÐÐÒµÃû³Æ,ÉêÍòÈý¼¶ÐÐÒµ´úÂë,ÉêÍòÈý¼¶ÐÐÒµÃû³Æ
sh600001,ºªµ¦¸ÖÌú,1998-01-22,8.0,8.49,7.88,7.91,7.5,109192419.0,879181596.0,2531200000.0,9819244610.0,,,,,,,,,,,,,,,,,,,801040,¸ÖÌú,801041,¸ÖÌú,850411,ÆÕ¸Ö
sh600001,ºªµ¦¸ÖÌú,1998-01-23,7.92,8.17,7.91,8.11,7.91,29841620.0,239735310.0,2595200000.0,10067518810.0,,,,,,,,,,,,,,,,,,,801040,¸ÖÌú,801041,¸ÖÌú,850411,ÆÕ¸Ö
sh600001,ºªµ¦¸ÖÌú,1998-02-09,8.31,8.35,8.01,8.04,8.11,17788422.0,144566694.0,2572800000.0,9980622840.0,,,,,,,,,,,,,,,,,,,801040,¸ÖÌú,801041,¸ÖÌú,850411,ÆÕ¸Ö
sh600001,ºªµ¦¸ÖÌú,1998-02-10,8.01,8.06,7.9,7.94,8.04,9783206.0,77782651.0,2540800000.0,9856485740.0,,,,,,,,,,,,,,,,,,,801040,¸ÖÌú,801041,¸ÖÌú,850411,ÆÕ¸Ö
sh600001,ºªµ¦¸ÖÌú,1998-02-11,7.95,8.17,7.89,8.06,7.94,12123541.0,96769526.0,2579200000.0,10005450260.0,,,,,,,,,,,,,,,,,,,801040,¸ÖÌú,801041,¸ÖÌú,850411,ÆÕ¸Ö
sh600001,ºªµ¦¸ÖÌú,1998-02-12,8.06,8.06,7.89,7.94,8.06,9604773.0,76179993.0,2540800000.0,9856485740.0,,,,,,,,,,,,,,,,,,,801040,¸ÖÌú,801041,¸ÖÌú,850411,ÆÕ¸Ö
sh600001,ºªµ¦¸ÖÌú,1998-02-13,7.91,7.94,7.8,7.82,7.94,7507203.0,58875184.0,2502400000.0,9707521220.0,,,,,,,,,,,,,,,,,,,801040,¸ÖÌú,801041,¸ÖÌú,850411,ÆÕ¸Ö
sh600001,ºªµ¦¸ÖÌú,1998-02-16,7.79,7.87,7.66,7.77,7.82,7433002.0,57476270.0,2486400000.0,9645452670.0,,,,,,,,,,,,,,,,,,,801040,¸ÖÌú,801041,¸ÖÌú,850411,ÆÕ¸Ö
sh600001,ºªµ¦¸ÖÌú,1998-02-17,7.74,7.89,7.71,7.78,7.77,4426420.0,34505716.0,2489600000.0,9657866380.0,,,,,,,,,,,,,,,,,,,801040,¸ÖÌú,801041,¸ÖÌú,850411,ÆÕ¸Ö
sh600001,ºªµ¦¸ÖÌú,1998-02-18,7.86,7.86,7.67,7.72,7.78,6479051.0,49937161.0,2470400000.0,9583384120.0,,,,,,,,,,,,,,,,,,,801040,¸ÖÌú,801041,¸ÖÌú,850411,ÆÕ¸Ö
